"year","area","count"
1979,34003337454122.5,2
1980,33274571157857.4,2
1981,33750481733131.3,2
1982,33459440877659,2
1983,32618889549156.7,2
1984,34003880590598.5,2
1985,33232849519574.7,2
1986,32653865715078.1,2
1987,33255085382596.6,2
1988,33509628066607.6,2
1989,33057476710056.1,2
1990,33152014521331.8,2
1991,33530997098383.7,2
1992,33855860194907.1,2
1993,33406996692101.4,2
1994,34224841989705.7,2
1995,33520535370058.1,2
1996,33821550412621.2,2
1997,33621138329689,2
1998,33638577684296.9,2
1999,34117885114660.4,2
2000,34463263479151.2,2
2001,33355530323833.9,2
2002,32549342869233.5,2
2003,33990959760337.9,2
2004,34122821313929.2,2
2005,34065296650293.1,2
2006,34096429950716.1,2
2007,33555588119472.8,2
2008,33567693460577.1,2
2009,34323981572790,2
2010,35111146475311.5,2
2011,33608404468697.8,2
2012,34265206615716.1,2
2013,35162929808959.7,2
2014,35745156626880.9,2
2015,34271160713283.1,2
2016,33789676159961.4,2
