"year","area","count"
1979,17001668727061.2,2
1980,16637285578928.7,2
1981,16875240866565.6,2
1982,16729720438829.5,2
1983,16309444774578.3,2
1984,17001940295299.2,2
1985,16616424759787.3,2
1986,16326932857539.1,2
1987,16627542691298.3,2
1988,16754814033303.8,2
1989,16528738355028.1,2
1990,16576007260665.9,2
1991,16765498549191.8,2
1992,16927930097453.6,2
1993,16703498346050.7,2
1994,17112420994852.8,2
1995,16760267685029.1,2
1996,16910775206310.6,2
1997,16810569164844.5,2
1998,16819288842148.4,2
1999,17058942557330.2,2
2000,17231631739575.6,2
2001,16677765161916.9,2
2002,16274671434616.8,2
2003,16995479880169,2
2004,17061410656964.6,2
2005,17032648325146.6,2
2006,17048214975358.1,2
2007,16777794059736.4,2
2008,16783846730288.6,2
2009,17161990786395,2
2010,17555573237655.8,2
2011,16804202234348.9,2
2012,17132603307858.1,2
2013,17581464904479.8,2
2014,17872578313440.4,2
2015,17135580356641.6,2
2016,16894838079980.7,2
